Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage
秋季,30,3,3.0,1.0,0.1,11,0.2,5,0.6459,0.8724,0.2884,0.9462,478.59,4_Opt_DecExtra
秋季,30,3,3.0,0.1,0.1,11,0.2,5,0.6602,0.8848,0.2949,0.9443,467.49,5_Opt_RmseWeight
秋季,30,3,3.0,0.5,0.1,11,0.2,5,0.6697,0.894,0.2984,0.9429,470.9,5_Opt_RmseWeight
秋季,30,3,3.0,1.0,0.1,11,0.2,5,0.6459,0.8724,0.2884,0.9462,478.59,5_Opt_RmseWeight
秋季,30,3,3.0,1.5,0.1,11,0.2,5,0.6686,0.8934,0.2979,0.9429,476.44,5_Opt_RmseWeight
秋季,30,3,3.0,2.0,0.1,11,0.2,5,0.6601,0.8848,0.2948,0.9443,464.73,5_Opt_RmseWeight
秋季,30,3,3.0,1.0,0.01,11,0.2,5,0.6692,0.8944,0.2981,0.9429,470.38,6_Opt_MmdWeight
秋季,30,3,3.0,1.0,0.05,11,0.2,5,0.6619,0.8858,0.2955,0.9441,478.91,6_Opt_MmdWeight
秋季,30,3,3.0,1.0,0.1,11,0.2,5,0.6459,0.8724,0.2884,0.9462,478.59,6_Opt_MmdWeight
秋季,30,3,3.0,1.0,0.2,11,0.2,5,0.6539,0.882,0.2916,0.9447,470.01,6_Opt_MmdWeight
秋季,30,3,3.0,1.0,0.5,11,0.2,5,0.6648,0.8891,0.2956,0.9437,471.21,6_Opt_MmdWeight
秋季,30,3,3.0,1.0,0.1,11,0.1,10,0.6719,0.9409,0.31,0.9378,490.68,7_Opt_MicThreshold
秋季,30,3,3.0,1.0,0.1,11,0.15,8,0.8283,1.1164,0.3692,0.9166,492.7,7_Opt_MicThreshold
秋季,30,3,3.0,1.0,0.1,11,0.2,5,0.6459,0.8724,0.2884,0.9462,478.59,7_Opt_MicThreshold
秋季,30,3,3.0,1.0,0.1,11,0.25,4,0.6798,0.9204,0.3038,0.9426,478.75,7_Opt_MicThreshold
秋季,30,3,3.0,1.0,0.1,11,0.3,4,0.6792,0.9127,0.3098,0.9433,486.54,7_Opt_MicThreshold
冬季,10,3,7.0,1.0,0.1,7,0.2,7,0.7562,1.0718,0.3077,0.9208,1111.66,1_Opt_Extend
冬季,15,3,7.0,1.0,0.1,7,0.2,7,0.7653,1.0851,0.317,0.919,477.97,1_Opt_Extend
冬季,20,3,7.0,1.0,0.1,7,0.2,7,0.8246,1.145,0.34,0.9077,476.18,1_Opt_Extend
冬季,25,3,7.0,1.0,0.1,7,0.2,7,0.8478,1.1841,0.3493,0.902,502.51,1_Opt_Extend
冬季,30,3,7.0,1.0,0.1,7,0.2,7,0.9831,1.3235,0.4335,0.8821,495.26,1_Opt_Extend
冬季,10,1,7.0,1.0,0.1,7,0.2,7,0.8,1.1244,0.3219,0.9135,487.11,2_Opt_Window
冬季,10,2,7.0,1.0,0.1,7,0.2,7,0.7935,1.1061,0.3256,0.9157,480.91,2_Opt_Window
冬季,10,3,7.0,1.0,0.1,7,0.2,7,0.7562,1.0718,0.3077,0.9208,1111.66,2_Opt_Window
冬季,10,4,7.0,1.0,0.1,7,0.2,7,0.7864,1.1035,0.3152,0.9158,497.14,2_Opt_Window
冬季,10,5,7.0,1.0,0.1,7,0.2,7,0.7577,1.0755,0.3055,0.9208,568.94,2_Opt_Window
