Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage,
秋季,20,3,7,1,0.1,7,0.2,5,0.3678,0.4994,0.156,0.9847,105.67,1_Opt_Extend,
秋季,25,3,7,1,0.1,7,0.2,5,0.406,0.539,0.1748,0.9821,107.9,1_Opt_Extend,
秋季,30,3,7,1,0.1,7,0.2,5,0.3699,0.4955,0.1599,0.9846,95.8,1_Opt_Extend,
秋季,15,1,7,1,0.1,7,0.2,5,0.3702,0.4954,0.1628,0.9847,97.96,2_Opt_Window,
秋季,15,2,7,1,0.1,7,0.2,5,0.3615,0.4867,0.1547,0.9855,96.91,2_Opt_Window,
秋季,15,3,7,1,0.1,7,0.2,5,0.3637,0.4884,0.1566,0.9852,95.75,2_Opt_Window,
秋季,15,4,7,1,0.1,7,0.2,5,0.3588,0.4799,0.1531,0.9857,100.33,2_Opt_Window,
秋季,15,5,7,1,0.1,7,0.2,5,0.381,0.5024,0.1615,0.9844,98.29,2_Opt_Window,
秋季,15,4,3,1,0.1,7,0.2,5,0.3571,0.4776,0.1521,0.9859,96.31,3_Opt_Threshold,
秋季,15,4,5,1,0.1,7,0.2,5,0.3635,0.4841,0.1567,0.9854,104.71,3_Opt_Threshold,
秋季,15,4,7,1,0.1,7,0.2,5,0.3588,0.4799,0.1531,0.9857,100.33,3_Opt_Threshold,
秋季,15,4,9,1,0.1,7,0.2,5,0.3749,0.4954,0.1603,0.9849,97.51,3_Opt_Threshold,
秋季,15,4,11,1,0.1,7,0.2,5,0.3657,0.4881,0.1568,0.9852,93.16,3_Opt_Threshold,
秋季,15,4,3,1,0.1,3,0.2,5,0.361,0.484,0.1597,0.9855,101.97,4_Opt_DecExtra,
秋季,15,4,3,1,0.1,5,0.2,5,0.3864,0.5109,0.1661,0.984,103.14,4_Opt_DecExtra,
秋季,15,4,3,1,0.1,7,0.2,5,0.3571,0.4776,0.1521,0.9859,96.31,4_Opt_DecExtra,
秋季,15,4,3,1,0.1,9,0.2,5,0.3644,0.4859,0.1585,0.9853,96.46,4_Opt_DecExtra,
秋季,15,4,3,1,0.1,11,0.2,5,0.3641,0.4843,0.1574,0.9854,102.54,4_Opt_DecExtra,
秋季,15,4,3,0.1,0.1,7,0.2,5,0.3632,0.4844,0.156,0.9855,96.13,5_Opt_RmseWeight,
秋季,15,4,3,0.5,0.1,7,0.2,5,0.3607,0.4808,0.1543,0.9857,97.78,5_Opt_RmseWeight,
秋季,15,4,3,1,0.1,7,0.2,5,0.3571,0.4776,0.1521,0.9859,96.31,5_Opt_RmseWeight,
秋季,15,4,3,1.5,0.1,7,0.2,5,0.3631,0.4839,0.1564,0.9854,102.52,5_Opt_RmseWeight,
秋季,15,4,3,2,0.1,7,0.2,5,0.3725,0.493,0.1575,0.9849,96.65,5_Opt_RmseWeight,
秋季,15,4,3,1,0.01,7,0.2,5,0.3615,0.4828,0.1553,0.9855,96.74,6_Opt_MmdWeight,
秋季,15,4,3,1,0.05,7,0.2,5,0.3714,0.493,0.1589,0.9849,103.47,6_Opt_MmdWeight,
秋季,15,4,3,1,0.1,7,0.2,5,0.3571,0.4776,0.1521,0.9859,96.31,6_Opt_MmdWeight,
秋季,15,4,3,1,0.2,7,0.2,5,0.3634,0.4841,0.1562,0.9855,99.79,6_Opt_MmdWeight,
秋季,15,4,3,1,0.5,7,0.2,5,0.3711,0.4928,0.1587,0.985,100.08,6_Opt_MmdWeight,
秋季,15,4,3,1,0.1,7,0.1,10,0.4012,0.5284,0.182,0.9822,107.16,7_Opt_MicThreshold,
秋季,15,4,3,1,0.1,7,0.15,8,0.4087,0.5392,0.1731,0.9816,105.53,7_Opt_MicThreshold,
秋季,15,4,3,1,0.1,7,0.2,5,0.3571,0.4776,0.1521,0.9859,96.31,7_Opt_MicThreshold,
秋季,15,4,3,1,0.1,7,0.25,4,0.3657,0.491,0.1569,0.9847,99.72,7_Opt_MicThreshold,
秋季,15,4,3,1,0.1,7,0.3,4,0.3555,0.4817,0.1539,0.9854,106.02,7_Opt_MicThreshold,
冬季,10,3,7,1,0.1,7,0.2,7,0.4235,0.5778,0.1648,0.9789,234.91,1_Opt_Extend,
冬季,15,3,7,1,0.1,7,0.2,7,0.4258,0.569,0.1719,0.9794,103.01,1_Opt_Extend,
冬季,20,3,7,1,0.1,7,0.2,7,0.4382,0.5886,0.1747,0.978,105.38,1_Opt_Extend,
冬季,25,3,7,1,0.1,7,0.2,7,0.5637,0.7129,0.2371,0.9682,99.96,1_Opt_Extend,
冬季,30,3,7,1,0.1,7,0.2,7,0.4338,0.5856,0.1698,0.9783,102.61,1_Opt_Extend,
冬季,10,1,7,1,0.1,7,0.2,7,0.4255,0.5748,0.1691,0.9791,99.32,2_Opt_Window,
冬季,10,2,7,1,0.1,7,0.2,7,0.4222,0.569,0.1696,0.9795,75.83,2_Opt_Window,
冬季,10,3,7,1,0.1,7,0.2,7,0.4235,0.5778,0.1648,0.9789,234.91,2_Opt_Window,
冬季,10,4,7,1,0.1,7,0.2,7,0.414,0.5677,0.1623,0.9795,92.03,2_Opt_Window,
冬季,10,5,7,1,0.1,7,0.2,7,0.4258,0.5767,0.1661,0.9789,103.44,2_Opt_Window,
冬季,10,4,3,1,0.1,7,0.2,7,0.413,0.5637,0.163,0.9799,102.07,3_Opt_Threshold,
冬季,10,4,5,1,0.1,7,0.2,7,0.4054,0.5561,0.1608,0.9804,104.53,3_Opt_Threshold,
冬季,10,4,7,1,0.1,7,0.2,7,0.414,0.5677,0.1623,0.9795,92.03,3_Opt_Threshold,
冬季,10,4,9,1,0.1,7,0.2,7,0.4157,0.5662,0.1649,0.9797,100.88,3_Opt_Threshold,
冬季,10,4,11,1,0.1,7,0.2,7,0.4217,0.5741,0.1647,0.9791,106.27,3_Opt_Threshold,
冬季,10,4,5,1,0.1,3,0.2,7,0.4655,0.6183,0.1811,0.9757,103.25,4_Opt_DecExtra,
冬季,10,4,5,1,0.1,5,0.2,7,0.4187,0.5697,0.1646,0.9794,90.21,4_Opt_DecExtra,
冬季,10,4,5,1,0.1,7,0.2,7,0.4054,0.5561,0.1608,0.9804,104.53,4_Opt_DecExtra,
冬季,10,4,5,1,0.1,9,0.2,7,0.4022,0.5577,0.1591,0.9803,105.05,4_Opt_DecExtra,
冬季,10,4,5,1,0.1,11,0.2,7,0.4012,0.5519,0.1565,0.9808,99.54,4_Opt_DecExtra,
冬季,10,4,5,0.1,0.1,11,0.2,7,0.4007,0.5515,0.1568,0.9807,99.52,5_Opt_RmseWeight,
冬季,10,4,5,0.5,0.1,11,0.2,7,0.412,0.5661,0.1623,0.9797,104.43,5_Opt_RmseWeight,
冬季,10,4,5,1,0.1,11,0.2,7,0.4012,0.5519,0.1565,0.9808,99.54,5_Opt_RmseWeight,
冬季,10,4,5,1.5,0.1,11,0.2,7,0.4023,0.5615,0.158,0.9799,95.36,5_Opt_RmseWeight,
冬季,10,4,5,2,0.1,11,0.2,7,0.404,0.5591,0.1584,0.9802,104.03,5_Opt_RmseWeight,
冬季,10,4,5,0.1,0.01,11,0.2,7,0.4018,0.5526,0.1561,0.9807,100.15,6_Opt_MmdWeight,
冬季,10,4,5,0.1,0.05,11,0.2,7,0.4104,0.5628,0.1623,0.9799,99.24,6_Opt_MmdWeight,
冬季,10,4,5,0.1,0.1,11,0.2,7,0.4007,0.5515,0.1568,0.9807,99.52,6_Opt_MmdWeight,
冬季,10,4,5,0.1,0.2,11,0.2,7,0.4039,0.5545,0.1588,0.9805,105.86,6_Opt_MmdWeight,
冬季,10,4,5,0.1,0.5,11,0.2,7,0.3991,0.551,0.1552,0.9808,101.26,6_Opt_MmdWeight,
冬季,10,4,5,0.1,0.5,11,0.1,10,0.4262,0.5804,0.1632,0.9787,102.35,7_Opt_MicThreshold,
冬季,10,4,5,0.1,0.5,11,0.15,10,0.4171,0.5697,0.1605,0.9793,72.48,7_Opt_MicThreshold,
冬季,10,4,5,0.1,0.5,11,0.2,7,0.3991,0.551,0.1552,0.9808,101.26,7_Opt_MicThreshold,
冬季,10,4,5,0.1,0.5,11,0.25,6,0.4037,0.5469,0.1614,0.9812,72.42,7_Opt_MicThreshold,
冬季,10,4,5,0.1,0.5,11,0.3,5,0.409,0.5563,0.1605,0.9804,70.76,7_Opt_MicThreshold,
